Date,Open*,High,Low,Close**,Volume,Market Cap
9/26/2019,86.84,86.84,79.89,83.91,317185904,1498239430
9/25/2019,83.58,89.93,82.65,86.83,426955957,1550409503
9/24/2019,113.91,114.63,70.98,83.8,423586533,1496185823
9/23/2019,119.87,120.16,113.9,113.94,212881041,2034335259
9/22/2019,122.47,122.52,117.6,119.95,242721087,2141659238
9/21/2019,122.97,123.86,121.87,122.47,251839198,2186671710
9/20/2019,122.86,126.76,122.22,122.93,281651168,2194844686
9/19/2019,125.75,126.34,119.36,122.86,309211017,2193717629
9/18/2019,125.48,130.03,122.23,125.8,392307803,2246226066
9/17/2019,122.68,126.92,120.67,125.33,261322488,2237774676
9/16/2019,119.75,124.21,119.69,122.76,290530221,2191807333
9/15/2019,119.61,124.8,118.23,119.8,288012019,2138947005
9/14/2019,117.78,121.3,117.05,119.61,206474305,2135634066
9/13/2019,120.08,120.39,116.93,118.12,259858641,2109074528
9/12/2019,120.12,120.59,117.15,120.08,223982727,2143987077
9/11/2019,126.49,127.34,113.06,120.12,352362965,2144703311
9/10/2019,131.34,132,125.14,126.35,329559950,2255943590
9/9/2019,135.53,138.18,128.11,131.42,358026181,2346482307
9/8/2019,134.79,137.9,133.8,135.53,307391476,2419929881
9/7/2019,131.43,136.04,130.56,134.61,322452434,2403488056
9/6/2019,130.53,137.33,129.62,131.24,322452434,2343235062
9/5/2019,131.94,133.84,129.25,130.53,298935720,2330600001
9/4/2019,135.24,135.46,131.59,131.85,288271329,2354259325
9/3/2019,133.78,137.3,133.69,135.17,355166862,2413379240
9/2/2019,130.02,135.25,128.7,133.65,327131780,2386234085
9/1/2019,129.39,129.86,127.28,129.65,280438624,2314946418
8/31/2019,130.48,130.48,126.98,129.41,279414915,2310674799
8/30/2019,128.88,131.53,125.96,130.41,322508749,2328387426
8/29/2019,125.7,134.44,120.63,128.88,392524362,2301089457
8/28/2019,134.3,134.3,125.32,125.62,292196902,2242929660
8/27/2019,131.59,135.15,128.1,134.19,341224340,2396048860
8/26/2019,132.76,135.86,130.28,131.66,330515940,2350733731
8/25/2019,133.33,135.55,131.56,132.94,283207352,2373713768
8/24/2019,136.17,136.64,131.06,133.66,289320210,2386434593
8/23/2019,135.17,136.51,133.64,136.25,298744767,2432661964
8/22/2019,133.29,137.21,129.47,135.17,308386970,2413408266
8/21/2019,140.56,140.74,130.58,133.26,308967051,2379374155
8/20/2019,146.06,146.87,139.97,140.53,261710692,2509155318
8/19/2019,136.69,145.99,136,145.86,310302000,2604413600
8/18/2019,133.51,138.83,131.44,136.6,263906620,2439016944
8/17/2019,134.94,136.76,130.92,133.49,259106571,2383419504
8/16/2019,135.52,137.68,131.33,134.85,305356492,2407742690
8/15/2019,134.63,138.22,124.91,135.53,402042236,2419951665
8/14/2019,143.03,151.76,130.47,133.92,413771458,2391214230
8/13/2019,142.53,144.24,139.8,143.03,302211348,2553750191
8/12/2019,145.85,147.6,142.36,142.46,248822151,2543543277
8/11/2019,141.52,147.42,141.52,145.84,296628678,2603968439
8/10/2019,140.65,146.07,139.3,141.47,339805538,2525899500
8/9/2019,144.16,146.92,138.53,140.65,341459784,2511294759
8/8/2019,147.26,148.02,139.95,144.12,310419705,2573199013
8/7/2019,147.3,151.08,144.8,147.26,338490075,2629297881
8/6/2019,154.16,160.49,143.41,147.08,386226479,2626080886
